Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
mx,nuevo progreso,23.166667,-97.95,84.98,97,0,8.86
jp,tomisato,35.744831,140.403859,73.08,100,75,28.86
so,afgoye,2.15,45.1166667,74.72,89,64,14.41
ro,rastolita,46.983333,25.033333,57.17,93,44,2.04
mx,tepeaca,18.966667,-97.9,73.4,40,40,18.34
br,bom jardim,-7.783333,-35.583333,73.4,69,0,12.75
in,rampura,24.466667,75.43333299999999,76.61,91,92,7.92
co,san fernando,9.268325,-74.530213,88.4,62,32,2.82
cz,doksy,50.565653999999995,14.654607,78.76,54,0,8.05
kz,karatau,43.166667,70.466667,61.4,79,0,1.99
ph,maricaban,11.1516,123.7679,83.72,96,76,16.69
cn,tanggu,39.021111,117.64694399999999,77,94,75,8.95
ch,arlesheim,47.495875,7.619839,74.46,64,0,5.82
in,sikandra rao,27.7,78.4,76.52,95,32,4.56
br,santana de parnaiba,-23.45,-46.916667,59.94,82,90,6.93
us,jerome,42.724166700000005,-114.51777779999999,89.6,14,1,12.75
us,waunakee,43.1919444,-89.4555556,72.1,78,90,3.36
ru,matveyev kurgan,47.5645,38.869468,73.82,60,76,8.52
mg,ihosy,-22.4,46.1166667,44.3,77,0,1.54
et,dese,11.133333,39.633333,55.82,92,68,2.37
hu,mikepercs,47.45,21.633333,71.6,60,0,2.24
us,troy,40.039444399999994,-84.2033333,80.87,78,1,3.36
ph,napaliran,8.775278,124.802222,84.08,76,80,7.63
ro,poduri,46.466667,26.533333000000002,66.2,88,0,5.82
de,ergolding,48.583333,12.166667,70.74,73,0,4.7
de,northeim,51.7,10.0,75.2,57,0,8.05
sk,spisske podhradie,49.0,20.75,64.63,82,20,5.82
it,lerici,44.066666999999995,9.916667,78.33,83,0,4.7
mx,kantunilkin,21.091667,-87.45,87.8,66,75,11.41
in,vuyyuru,16.366667,80.85,75.26,97,92,13.67
ro,cerasu,45.316666999999995,26.033333,60.05,98,92,1.88
in,suket,24.65,76.033333,74.72,97,92,4
ro,sisesti,47.633333,23.7,64.99,68,56,4.7
ee,tabivere,58.5541667,26.595555600000004,55.4,82,0,4.7
us,le mars,42.7941667,-96.1652778,79.56,61,1,4.7
it,alcamo,37.983333,12.966667,80.6,69,20,2.24
ro,douazeci si trei august,43.916667,28.583333000000003,69.8,88,0,9.17
ua,moshny,49.524209,31.743376,62.75,70,0,8.37
mz,cuamba,-14.803055599999999,36.5372222,55.46,72,0,2.77
uz,romitan,39.929444399999994,64.3794444,77,44,0,9.17
ru,abadzekhskaya,44.393889,40.221389,66.44,73,36,2.37
dk,starup,55.24097,9.535032000000001,70.7,64,0,4.7
us,corning,42.1427778,-77.055,78.8,69,75,4.7
pa,portobelo,9.55,-79.65,83.3,88,40,9.17
se,visby,57.63333299999999,18.3,66.2,88,0,9.17
de,wilhelmshaven,53.516667000000005,8.133333,76.14,53,20,5.82
ro,gighera,43.85,23.8,68,88,0,6.93
br,sao caetano de odivelas,-0.75,-48.033333,81.2,97,32,17.58
de,schiffweiler,49.366667,7.133333,76.39,44,76,6.93
it,lecco,45.85,9.383333,75.92,73,0,4.7
rs,podujevo,42.910556,21.193056,71.6,68,0,4.7
cz,verovice,49.538936,18.119879,65.07,64,0,2.24
ro,supuru de jos,47.466667,22.8,65.5,93,0,2.24
in,dungarpur,21.283333,71.733333,79.94,100,76,17.31
zm,serenje,-13.233333300000002,30.233333299999998,54.02,69,0,7.74
jp,kaga,36.3,136.333333,77,73,75,6.93
be,tellin,50.083333,5.216667,79.39,37,0,9.17
ph,litayen,7.335833,124.034722,80.75,93,36,5.35
co,boyaca,5.453715,-73.36249699999999,52.94,86,12,1.81
tr,salihli,38.482581,28.147737,63.47,95,0,1.88
no,eina,60.63333299999999,10.6,60.86,72,0,4.5
us,duluth,34.0027778,-84.1447222,85.62,94,90,10.29
ru,grivenskaya,45.647302,38.175974,74.18,90,0,7.58
ru,atamanovka,51.933333000000005,113.63333300000001,55.4,93,12,4.47
ph,adtuyon,7.811944,124.854444,74.63,74,12,2.82
ci,sakassou,7.454624000000001,-5.292628,74.43,94,20,4.7
ro,jina,45.783333,23.683332999999998,64.4,93,0,2.24
ru,kozulka,56.1606,91.3858,39.2,100,0,6.35
us,east hampton,41.5758333,-72.5030556,80.76,74,75,8.05
no,kil,58.86666700000001,9.316667,60.8,100,8,2.24
mx,xometla,19.65,-98.883333,75.2,36,75,5.82
br,matipo,-20.283333,-42.35,62.21,96,92,1.7
co,obando,4.575833,-75.973889,79.63,51,75,5.82
in,shivrajpur,22.416667,73.65,75.44,98,100,8.14
it,parma,44.8,10.333333,75.85,78,0,3.36
ug,mbale,1.0644444,34.179444399999994,55.55,91,0,2.55
az,xudat,41.630965,48.681000000000004,62.84,86,0,2.77
in,mandawar,27.866667,76.55,75.8,96,80,2.77
ua,khorosheve,49.852789,36.219476,69.8,60,0,6.71
gb,stamford,52.65,-0.483333,64.04,72,20,11.41
ch,hergiswil,46.984209,8.310356,75.47,34,75,13.87
br,cafarnaum,-11.7,-41.466667,68.78,69,0,7.85
ru,luzino,54.948111,73.035312,62.6,82,40,6.71
fr,allonnes,47.967395,0.158067,68.79,73,75,12.75
hn,concepcion del sur,14.8,-88.16666670000001,75.89,73,92,2.37
ng,maiduguri,11.846441,13.160274,76.34,85,36,3.71
br,guaramirim,-26.45,-49.0,60.8,82,75,2.48
ph,alimodian,10.821389,122.43111100000002,75.62,98,92,9.53
se,falkenberg,56.898056000000004,12.501944,73.4,46,0,9.17
pl,kolo,52.207244,18.631954,67.97,61,20,11.43
cz,vyskov,49.278302000000004,17.002565,76.01,61,0,8.05
pt,maceira,39.688528999999996,-8.894232,64.4,93,75,11.41
ro,fratesti,43.966667,25.966667,68.88,77,0,3.36
us,saint john,41.45,-87.47,79.48,78,40,5.82
jp,tagawa,33.633333,130.8,79.97,57,0,8.05
br,osvaldo cruz,-21.783333,-50.833333,64.82,83,24,7.07
ro,blejesti,44.3,25.466667,68.88,77,0,3.36
id,seyegan,-7.7202779999999995,110.299167,67.07,91,0,2.04
am,areni,39.720833299999995,45.1838889,78.8,41,0,11.41
cn,hefei,31.863889,117.280833,82.4,94,0,4.47
mx,nacajuca,18.133333,-93.016667,91.4,46,75,18.34
jp,itami,34.766667,135.416667,78.84,61,20,9.17
us,merrick,40.6627778,-73.5519444,84.76,83,20,16.11
id,tanggul,-8.1645,113.4525,73.1,100,32,7.81
co,san cayetano,5.301532,-74.069542,55.4,66,90,11.41
mx,ocotitlan,19.033333,-97.95,73.4,40,40,18.34
bf,banfora,10.633333300000002,-4.7666667,68.6,97,92,9.6
ru,volchansk,59.9378,60.081,57.62,81,68,6.06
ph,medellin,11.1286,123.9622,84.53,91,76,15.68
gr,ayios petros,37.3333333,22.55,69.8,68,0,4.7
br,general salgado,-20.65,-50.366667,66.17,74,0,7.14
pe,lircay,-13.0,-74.7166667,68,49,75,10.29
mx,tenancingo,19.147222,-98.18055600000001,73.4,40,40,18.34
ro,brazi,44.866667,26.016667,68.92,94,0,4.7
et,guder,8.966667,37.766667,51.23,94,76,1.25
ru,gornyy,55.1153,83.9059,47.54,92,0,3.6
ro,valea moldovei,47.466667,26.033333,64.4,77,0,6.93
us,hanover park,41.999444399999994,-88.145,72.12,83,90,4.7
co,puerto rico,2.938333,-73.208333,70.58,97,68,2.26
us,broken arrow,36.0525,-95.7905556,80.47,88,90,6.93
us,prichard,30.738611100000004,-88.07888890000001,77.76,100,75,5.82
ru,imeni sverdlova,59.796110999999996,30.665833000000003,55.4,93,20,4.47
ph,datu paglas,6.766667,124.85,78.59,87,36,4.12
si,skofja loka,46.1672222,14.3088889,73,94,0,2.24
pe,lima,-12.05,-77.05,60.32,77,12,2.21
ro,tansa,46.916667,27.233333000000002,65.32,93,0,4.7
se,harnosand,62.636111,17.941111,56.26,93,0,3.36
br,barra dos coqueiros,-10.9,-37.05,78.8,69,20,10.29
ml,kolondieba,11.083333300000001,-6.9,71.12,97,92,2.59
am,aramus,40.2511111,44.66305560000001,82.4,39,0,17.22
us,raynham,41.9486111,-71.0736111,83.93,70,1,11.41
pt,tondela,40.516815,-8.080866,62.6,93,40,13.87
ua,huty,50.13322,35.343936,60.5,73,0,9.53
am,azatavan,39.9833333,44.5,82.4,39,0,17.22
gr,poliyiros,40.374444399999994,23.4383333,75.2,53,20,6.93
gr,kopanos,40.6336111,22.1302778,66.8,76,36,1.88
ph,labney,16.1028,120.4655,71.39,99,92,3.49
ph,san isidro,10.9629,124.4304,84.26,95,88,15.9
ph,san isidro,13.5,120.9025,75.44,100,92,3.38
fr,verrieres-le-buisson,48.745653000000004,2.2679560000000003,76.06,53,0,13.87
ro,dragomiresti,46.633333,27.35,65.23,88,0,5.82
gr,kallithea,40.27638889999999,22.5783333,75.2,53,20,6.93
pe,pucallpa,-8.3825,-74.53805559999999,80.6,78,40,5.82
id,bitung,1.4451,125.1824,75.2,83,20,2.24
mx,salitrillo,19.433332999999998,-99.85,68,49,75,23.04
br,bandeirantes,-23.1,-50.35,56.63,86,24,8.3
nl,tholen,51.538942999999996,4.217105999999999,72.32,78,90,20.8
ru,kurlovo,55.432524,40.485388,55.64,95,76,12.84
th,lat yao,15.751,99.78925,72.74,99,92,3.6
ir,takab,36.4009,47.1133,64.19,48,68,2.89
de,boizenburg,53.38333299999999,10.716667,78.19,36,0,8.05
ru,vorobyevka,50.6417,40.927,61.4,81,0,7.36
in,manamadurai,9.7,78.483333,80.57,68,64,13.89
ir,babol,36.551321,52.678951,80.6,88,75,4.7
zm,sesheke,-17.466666699999998,24.3,57.26,58,0,2.89
in,nambiyur,11.366667,77.333333,73.4,94,40,9.17
ci,touba,8.283333,-7.683333,69.95,92,92,10.83
bd,dhamrai,23.9122222,90.2683333,82.4,83,75,9.17
br,cascavel,-4.116667,-38.233333,78.8,83,75,10.29
hu,dunakeszi,47.636404999999996,19.13864,69.8,77,0,2.24
bd,bandarban,22.2,92.2166667,74.18,95,36,2.26
mx,tlalnepantla,19.0,-98.983333,76.3,47,75,8.05
be,colfontaine,50.383333,3.8666669999999996,72.99,57,0,12.75
ph,mina,10.9313,122.5745,75.62,98,92,9.53
tj,nau,40.1538889,69.3730556,77,50,20,8.95
ru,gidrotorf,56.475618999999995,43.538132,59,100,75,4.47
us,apopka,28.6802778,-81.50972220000001,90.32,55,40,14.99
tr,tunceli,39.108288,39.547112,76.89,37,0,11.41
ua,tarashcha,49.558316,30.492592,58.25,82,0,2.89
co,valle del guamuez,0.4525,-76.919167,68.24,97,68,2.1
ph,dapa,9.759444,126.05305600000001,85.43,93,56,4
ru,sredniye achaluki,43.370527,44.732658,66.62,78,32,2.71
gr,kastellion,35.2,25.3333333,78.8,69,0,10.29
ad,andorra la vella,42.5,1.5166667,52.85,90,8,2.04
us,north valley stream,40.685,-73.70222220000001,85.66,88,75,20.8
br,itabaiana,-7.3333330000000005,-35.333333,73.4,88,20,8.05
ru,yugo-kamskiy,57.703977,55.594265,57.2,93,0,6.71
us,wade hampton,34.903611100000006,-82.33333329999999,81.84,78,75,6.93
pl,ryki,51.623965999999996,21.933517000000002,59.33,87,0,2.82
us,acushnet,41.680555600000005,-70.9083333,82.83,83,1,16.11
ua,novomykolayivka,47.978099,35.910195,69.8,73,0,8.95
ru,vostochnyy,58.799909,61.813906,60.68,87,32,4.9
in,candolim,15.516667000000002,73.75,72.92,100,92,8.41
in,guskhara,23.5,87.75,77.42,97,92,11.05
ru,prochnookopskaya,45.0666,41.1175,73.46,53,32,4.34
ro,suletea,46.283333,27.9,66.35,80,8,6.13
us,pueblo,38.2544444,-104.60861109999999,72.86,48,1,16.11
co,piedecuesta,6.9878919999999995,-73.049533,77,78,75,5.82
ph,bayanga,7.466667,124.233333,80.75,93,36,5.35
in,tinnanur,13.111389,80.026111,82.4,74,75,6.93
ru,mayskiy,47.696000000000005,40.102585999999995,72.65,65,64,9.64
ru,alpatovo,43.702795,45.241541999999995,75.62,72,68,2.82
ro,lupsa,46.366667,23.2,69.24,82,0,4.7
ro,bagaciu,46.266667,24.366667,66.6,93,0,4.7
de,adendorf,53.283333,10.45,78.22,43,40,9.08
us,lebanon,40.3408333,-76.4116667,79.48,94,90,6.93
in,seondha,26.157778,78.77972199999999,76.52,99,88,7.4
in,kelamangalam,12.6,77.85,69.8,100,75,11.41
in,hadgaon,19.5,77.666667,72.47,96,92,7.52
ph,mamali,6.776667,124.645,78.59,87,36,4.12
mx,pesqueria,25.783333,-100.05,95.86,25,75,13.87
se,uppsala,59.85,17.633333,65.34,88,56,4.7
ph,larap,4.761389,119.4075,83.18,99,36,18.37
nl,uitgeest,52.531713,4.705922,73.38,57,0,17.22
br,sertanopolis,-23.066667000000002,-51.033333,62.6,82,0,5.82
es,san lorenzo de el escorial,40.593993,-4.144851,75.7,27,0,3.36
co,puerto rico,1.905743,-75.154059,68.6,97,92,0.25
ca,riviere-du-loup,47.833333,-69.533333,59.51,77,20,6.02
in,gudibanda,13.669444,77.69833299999999,69.8,100,75,11.41
ca,kindersley,51.466667,-109.13333300000001,82.4,26,75,11.41
us,jamestown,42.0969444,-79.2355556,75.96,88,40,5.82
lt,ariogala,55.2666667,23.466666699999998,59,93,0,2.24
us,east rockaway,40.64194439999999,-73.67,85.66,88,75,20.8
ws,faleatiu,-13.816666699999999,-171.93333330000002,80.6,65,75,8.05
ru,troitskiy,51.3588,37.5253,60.32,89,56,10.09
ru,ishcherskaya,43.713594,45.133706,75.62,72,68,2.82
ru,novonikolayevskaya,45.586388,38.37494,74.18,90,0,7.58
fr,saint-max,48.704294,6.209989,74.01,69,0,2.24
tr,sereflikochisar,38.945099,33.542998,66.17,77,12,6.4
il,pardesiyya,32.305774,34.909110999999996,80.6,74,40,1.12
co,pensilvania,5.383456,-75.16121899999999,71.6,53,40,1.25
ie,navan,53.652777799999996,-6.681388900000001,53.56,62,20,5.82
in,kankipadu,16.45,80.783333,75.26,97,92,13.67
lk,haputale,6.7666667,80.9666667,72.92,84,32,9.15
ru,myurego,42.410868,47.693038,73.4,73,76,4.47
ch,zermatt,46.021256,7.74912,62.01,68,32,3.36
ro,cucuteni,47.283333,26.933333,64.4,93,0,4.7
tz,mahanje,-9.933333300000001,35.3333333,53.12,88,0,2.71
py,humaita,-27.05,-58.55,74.34,64,40,9.17
mx,el verde,20.55,-103.266667,77,47,90,4.7
de,wasserburg,48.066666999999995,12.233333,69.8,73,0,4.7
in,hatod,22.8,75.733333,74,92,92,9.86
ro,aricestii-zeletin,45.216667,26.166667,70.85,77,76,7.58
ru,primorsko-akhtarsk,46.0497,38.1747,74.27,100,0,9.04
be,olen,51.15,4.85,77.04,83,76,23.04
us,hesperia,34.4263889,-117.3,102.79,8,20,8.05
it,biancavilla,37.633333,14.866667000000001,82.58,74,75,1.12
pe,tinyahuarco,-10.75,-76.3,39.08,100,88,2.71
br,butia,-30.116667,-51.966667,57.62,82,0,10.6
ua,vyshhorod,50.584758,30.489798999999998,61.36,63,0,4.47
pt,valega,40.836287,-8.580608,62.6,93,40,13.87
br,carinhanha,-14.3,-43.783333,80.75,40,32,13.56
ru,lyskovo,56.032821,45.042196999999994,55.82,99,76,8.08
uz,nurobod,39.608611100000005,66.2866667,69.8,60,0,2.24
cn,zhongshan,22.520576000000002,113.382318,81.79,88,24,6.71
br,santos,-23.95,-46.333333,58.96,93,90,2.24
ru,yagodnoye,62.55,149.666667,49.79,100,92,2.82
ph,tapilon,11.2774,124.0306,84.53,91,76,15.68
bt,tongsa,27.516666700000002,90.5,47.18,96,8,1.77
sn,thies,14.8,-16.9333333,78.8,69,40,9.17
de,oerlinghausen,51.966667,8.666667,80.83,44,0,12.75
uz,karauzyak,43.0275,60.0125,75.2,53,0,4.7
at,vocklamarkt,48.0,13.483332999999998,70.74,73,40,5.82
us,clinton,41.278611100000006,-72.5280556,80.47,94,90,11.41
ro,stefesti,45.216667,25.9,67.25,91,68,3.56
ua,novopskov,49.546402,39.089867,64.28,73,56,6.85
us,soldotna,60.487777799999996,-151.05833330000002,64.33,59,1,8.05
us,erlanger,39.0166667,-84.6008333,77.07,94,90,5.82
ru,shumikhinskiy,58.744834999999995,57.690495999999996,54.02,97,76,2.55
hu,mezokeresztes,47.833333,20.7,66.08,72,0,4.34
de,rudersberg,48.883333,9.533333,68.27,82,0,2.24
us,aurora,41.3175,-81.3455556,79,61,40,4.7
us,burton,42.999444399999994,-83.6163889,82.92,48,1,1.99
do,higuey,18.6166667,-68.7,86.86,49,20,12.75
ph,pangian,6.462778,125.545278,81.11,91,76,4.23
hn,goascoran,13.583333300000001,-87.6166667,73.4,60,40,16.11
ua,poroshkovo,48.668316,22.753276,58.07,92,0,2.21
us,southglenn,39.5872222,-104.95222220000001,85.01,36,75,17.22
ru,shilovo,54.3204,40.874,57.17,94,36,11.43
am,masis,40.0138889,44.485833299999996,82.4,39,0,17.22
cz,stepanov,50.162384,16.917023999999998,67.43,59,64,6.58
am,jermuk,39.841666700000005,45.6722222,51.32,81,0,3
ug,gulu,2.7666667,32.305555600000005,62.12,89,64,2.82
nz,otautau,-46.15,168.0,48.26,100,76,4.27
jp,ozu,33.5,132.55,77,83,20,8.05
in,naduvattam,11.483333,76.56666700000001,67.16,88,56,3.71
dk,stovring,56.890868999999995,9.830964999999999,68.42,63,44,6.91
ru,usinsk,65.950714,57.468469999999996,52.49,98,92,13.78
mx,cuautlancingo,19.083333,-98.266667,73.4,40,40,18.34
hu,bokod,47.491862,18.247429999999998,76.15,69,0,8.05
at,micheldorf,47.85,14.133332999999999,71.6,73,75,4.7
ro,magura ilvei,47.383333,24.8,57.71,95,36,2.04
no,lyngseidet,69.583333,20.216667,50,76,75,2.24
za,lichtenburg,-26.152004,26.159679,37.82,67,0,5.73
co,talaigua,9.303472,-74.56477,84.89,75,44,3.49
no,roald,62.583332999999996,6.133333,60.8,93,76,6.93
gb,cleethorpes,53.55,-0.033333,64.17,68,92,6.93
in,ranaghat,23.183332999999998,88.583333,80.6,94,40,6.93
hu,babocsa,46.041546000000004,17.343316,69.14,83,0,4
fr,yerres,48.717853000000005,2.493384,74.82,57,0,18.34
it,taurianova,38.35,16.016667,76.87,69,0,1.59
es,leon,42.600031,-5.570316,59,67,0,3.36
us,newington,38.7383333,-77.1852778,80.13,74,20,8.05
pt,ponta delgada,37.733333,-25.666667,69.8,73,40,3.36
fr,vigneux-sur-seine,48.702911,2.413574,74.82,57,0,18.34
af,gazni,33.550833000000004,68.4225,42.68,83,0,3.04
de,landau,49.2075,8.113333,75.36,69,56,2.24
lt,birzai,56.2,24.75,57.08,85,0,2.82
no,tau,59.066667,5.9,66.33,82,32,9.17
br,senador jose porfirio,-2.583333,-51.916667,82.1,73,8,5.91
cz,dolni nemci,48.968436,17.584023000000002,75.31,69,68,4.7
mx,tehuacan,18.45,-97.383333,65.9,71,32,3.11
ph,santa filomena,9.7402,123.3407,83.99,90,76,15.46
nl,gennep,51.694099,5.977146,81.81,42,90,6.93
gr,keramoti,40.8583333,24.7061111,79.22,80,0,6.85
in,bidhuna,26.8022,79.5088,76.88,94,100,8.75
pt,leca do bailio,41.214566999999995,-8.613484,63.36,88,75,14.99
us,brawley,32.9786111,-115.52944440000002,107.53,25,40,9.17
pl,gorzow wielkopolski,52.73679,15.228775,73.37,42,0,11.54
cl,arauco,-37.25,-73.31666700000001,51.8,76,0,5.82
fr,cugnaux,43.536188,1.344141,71.6,73,90,14.99
kh,kracheh,12.483333300000002,106.01666670000002,74.18,100,92,5.91
it,urbino,43.716667,12.633333,75.09,78,0,3.36
de,ainring,47.816666999999995,12.95,71.6,64,20,5.82
am,verin dvin,40.0252778,44.5908333,82.4,39,0,17.22
ro,isverna,44.979721999999995,22.629167000000002,61.31,92,36,2.55
br,londrina,-23.3,-51.15,62.6,82,0,5.82
br,rio negrinho,-26.239449,-49.499857,60.8,82,75,3
ph,lumbayao,8.016667,125.16666699999999,79.31,66,32,3.22
br,sao desiderio,-12.366667,-44.966667,77.78,39,0,8.37
fr,saint-priest,45.696125,4.938915,79.21,61,0,21.92
ru,chern,53.452316,36.914497999999995,57.53,80,0,8.86
ru,duvan,55.694968,57.902372,56,91,0,2.26
de,alfter,50.733333,7.016667,78.04,50,0,4.7
in,konanur,12.626389,76.054167,67.7,97,92,12.44
ru,kharovsk,59.964247,40.19121,48.44,90,20,2.89
ke,yala,0.1,34.533333299999995,58.52,88,0,3.33
in,magadi,12.966667,77.233333,69.8,100,75,11.41
mx,san agustin de las juntas,17.003889,-96.708056,80.6,26,75,8.05
mx,magdalena,20.916667,-103.95,73.55,67,80,1.59
br,jaguarari,-10.266667,-40.2,73.73,62,0,11.95
ph,aringay,16.394000000000002,120.3545,71.39,99,92,3.49
ph,langcangan,8.4262,123.7554,81.47,83,24,6.24
ph,basista,15.8524,120.3976,73.91,100,92,6.29
in,kesinga,20.2,83.233333,73.46,97,100,8.86
co,tenjo,4.872701,-74.144351,55.4,66,90,11.41
be,leopoldsburg,51.116667,5.25,80.06,32,90,3.36
ao,soyo,-6.1349029999999996,12.368935,64.46,97,0,3.33
us,okolona,38.1411111,-85.68777779999999,81.95,65,75,11.41
ro,lunca,46.85,24.566667000000002,67.77,93,64,4.7
gr,athira,40.8252778,22.5833333,75.2,53,20,6.93
de,laupheim,48.233333,9.883333,65.03,82,20,3.36
in,wardha,20.75,78.616667,75.2,94,90,2.24
ph,osmena,10.520833,119.92583300000001,83,97,56,19.04
in,waghai,20.766667,73.483333,76.25,99,100,10.83
ch,frauenfeld,47.558159,8.898544000000001,71.98,60,48,2.24
ua,terebovlya,49.301873,25.709974,64.1,77,0,2.71
sk,sahy,48.0666667,18.966666699999998,64.4,77,0,3.49
us,galt,38.2547222,-121.2988889,89.08,29,1,4.7
us,merrillville,41.4827778,-87.33277779999999,79.57,78,40,5.82
in,indergarh,26.9352,79.6724,76.88,94,100,8.75
de,munster,49.922778,8.867778,79.05,50,75,4.7
id,tabanan,-8.5384,115.1282,78.8,83,75,16.11
ru,kuzovatovo,53.546808,47.686588,65.45,72,20,6.51
ro,baiut,47.616667,24.0,61.22,91,56,2.33
tz,hedaru,-4.5,37.9,52.67,92,0,2.55
ch,oftringen,47.31382,7.925327,74.52,69,0,4.7
ua,staryy krym,47.161463,37.489339,68.87,70,32,8.14
gr,fanai,36.35,27.983333299999998,80.6,69,20,11.41
re,saint-louis,-21.2666667,55.4166667,67.8,52,90,6.93
de,dusseldorf,51.216667,6.766667,80.96,32,0,8.05
it,formia,41.25,13.616667000000001,78.8,94,0,3.36
az,kesla,40.397778,49.898610999999995,77,88,0,6.93
co,fredonia,5.925833,-75.670556,77.81,35,75,9.17
th,trang,7.558167,99.610528,81.47,71,88,6.29
de,uslar,51.666667,9.65,73.27,57,0,8.05
py,presidente franco,-25.533333,-54.61666700000001,64.4,88,0,4.7
ph,pulupandan,10.5203,122.8017,79.94,83,92,13.67
it,taormina,37.85,15.283332999999999,81.09,74,75,1.12
ro,balauseri,46.4,24.683332999999998,66.2,88,0,5.82
ca,chemainus,48.916667,-123.7,76.93,35,20,6.93
ru,dalnegorsk,44.5558,135.5674,61.85,98,100,4.38
us,bellview,30.461388899999996,-87.315,87.53,74,1,3.36
hu,szentgotthard,46.946513,16.315555,64.4,93,8,1.12
ru,dankov,53.251554000000006,39.155533,58.79,88,0,9.37
mx,angahuan,19.55,-102.18333299999999,75.2,60,75,9.17
ro,cosereni,44.683333000000005,26.566667,68.9,94,0,2.24
jp,hashimoto,34.316666999999995,135.616667,78.8,69,75,13.87
cz,hulin,49.314890999999996,17.471895999999997,70.68,61,0,5.82
pl,starogard gdanski,53.968897999999996,18.535355,69.8,52,0,8.05
za,prieska,-29.664088,22.747421,21.53,66,0,3.11
